Y_Pixel,X_Pixel,Resolution_Type,Brand,Display size (cm),Display size (inch),model_name,launch_year,smart_tv,os,usb_count,hdmi_count,screen_type,Price
1080,1920,Full HD,Compaq,108.0,43,CQ4300FHDAB,2021,Yes,Android,2,3,LED,15999
2160,3840,Ultra HD (4K),TCL,189.0,75,75P635,2022,Yes,Google TV,2,3,LED,69990
1080,1920,Full HD,Dyanora,108.0,43,DY-LD43F0S,2022,Yes,Android,2,2,LED,15999
2160,3840,Ultra HD (4K),LG,164.0,65,65SK8500PTA,2018,Yes,WebOS,3,4,LED,84990
2160,3840,Ultra HD (4K),Haier,140.0,55,L55EG,2023,Yes,Google TV,2,4,LED,41490
2160,3840,Ultra HD (4K),SONY,125.7,50,KD-50X75L,2023,Yes,Google TV,2,3,LED,59840
2160,3840,Ultra HD (4K),Compaq,108.0,43,CQ43APUDBL,2021,Yes,Android,2,3,LED,17999
720,1280,HD Ready,CANDY,80.0,32,CA32C9,2023,Yes,Android,2,3,LED,9999
1080,1920,Full HD,SONY,125.7,50,KLV-50W672G,2019,Yes,Linux,2,2,LED,53100
2160,3840,Ultra HD (4K),SONY,215.0,85,KD-85X80L,2023,Yes,Google TV,2,4,LED,313490
720,1280,HD Ready,ONIDA,80.0,32,32HIT,2023,Yes,Android,2,2,LED,12990
2160,3840,Ultra HD (4K),Thomson,108.0,43,43OPMAXGT9010,2023,Yes,Google TV,2,3,LED,22999
2160,3840,Ultra HD (4K),Panasonic,108.0,43,TH-43MX660DX,2023,Yes,Google TV,2,3,LED,29990
720,1280,HD Ready,NU,80.0,32,LED32HWA1,2022,Yes,WebOS,2,3,LED,10999
2160,3840,Ultra HD (4K),Coocaa,138.0,55,55Y72,2022,Yes,Google TV,2,3,LED,29999
2160,3840,Ultra HD (4K),LG,108.0,43,43UK6780PTE,2018,Yes,WebOS,2,3,LED,33982
2160,3840,Ultra HD (4K),LG,164.0,65,65UP7720PTY,2021,Yes,WebOS,1,2,LED,74990
2160,3840,Ultra HD (4K),LG,139.0,55,55UP7720PTY,2021,Yes,WebOS,1,2,LED,52999
720,1280,HD Ready,MarQ,80.0,32,32HDNDMSVAB,2021,No,Not Specified,2,2,LED,7999
1080,1920,Full HD,LG,108.0,43,43LH600T,2016,Yes,WebOS,2,3,LED,58900
720,1280,HD Ready,MarQ,80.0,32,32HDGDQBSXP,2023,Yes,Google TV,2,2,LED,9999
2160,3840,Ultra HD (4K),MOTOROLA,139.0,55,55SAUHDMG/55SAUHDMG.,2020,Yes,Android,2,3,LED,59999
2160,3840,Ultra HD (4K),Vu,164.0,65,65CA,2023,Yes,Google TV,2,3,LED,49990
2160,3840,Ultra HD (4K),Acer,189.0,75,AR75GR2851UDFL,2023,Yes,Google TV,2,3,LED,79999
2160,3840,Ultra HD (4K),Sansui,165.0,65,JSW65GSQLED,2022,Yes,Google TV,2,3,QLED,51890
2160,3840,Ultra HD (4K),SONY,138.8,55,KD-55X80J,2021,Yes,Google TV,2,4,LED,74990
720,1280,HD Ready,KODAK,80.0,32,32HDX900s,2017,No,Android,2,2,LED,7499
720,1280,HD Ready,Compaq,80.0,32,CQ32APHDBZ,2023,Yes,Android,2,3,LED,21998
720,1280,HD Ready,XElectron,80.0,32,32XETV,2022,Yes,Android,2,2,LED,8022
2160,3840,Ultra HD (4K),MOTOROLA,140.0,55,55UHDGQMWS5Q,2023,Yes,Google TV,2,3,QLED,36999
720,1280,HD Ready,Panasonic,80.0,32,TH-32MS660DX,2023,Yes,Google TV,2,2,LED,15990
720,1280,HD Ready,Panasonic,80.0,32,TH-32JS650DX,2021,Yes,Android,2,3,LED,25000
2160,3840,Ultra HD (4K),Coocaa,109.0,43,43S6G Pro,2020,Yes,Android,2,3,LED,19999
2160,3840,Ultra HD (4K),SENS,140.0,55,SENS55WGSQLED,2022,Yes,Google TV,2,3,QLED,29999
2160,3840,Ultra HD (4K),Haier,108.0,43,L43EG,2023,Yes,Google TV,2,4,LED,30490
2160,3840,Ultra HD (4K),LG,139.0,55,OLED55C8PTA,2018,Yes,WebOS,3,4,OLED,129999
2160,3840,Ultra HD (4K),SONY,138.8,55,KD-55X82L,2023,Yes,Google TV,2,4,LED,81300
2160,3840,Ultra HD (4K),SONY,138.8,55,XR-55A80K IN5,2022,Yes,Google TV,2,4,OLED,146900
2160,3840,Ultra HD (4K),TOSHIBA,139.0,55,55C350LP,2022,Yes,Google TV,2,3,LED,37999
2160,3840,Ultra HD (4K),Mi,138.8,55,L55M5-5XIN,2019,Yes,Android Based,2,3,LED,46290
