title,deal_price,screen_type,hdmi_count,usb_count,os,smart_tv,display_size,hd_technology_resolution,launch_year,model_name
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV  (24HDNDQPPAB),"₹5,699",LED,2,2,Not Specified,No,60 cm (24 inch),"HD Ready, 1366 x 768",2022,24HDNDQPPAB
Sansui 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (JSW50GSUHD),"₹26,999",LED,3,2,Google TV,Yes,127 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2023,JSW50GSUHD
"LG UQ7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition with Filmmaker Mode, AI Sound & Active HDR  (55UQ7500PSF)","₹44,990",LED,3,1,WebOS,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55UQ7500PSF
Infinix 80 cm (32 inch) QLED HD Ready Smart WebOS TV Infinix W1 QLED 80 cm (32 inch) HD Ready Smart TV powered by webOS (32W1Q) with Dolby Audio. Personalized TV experience with 1000+ Apps and Home Dashboard to control IoT devices. (Wall Mount Included)  (32W1 Q),"₹9,499",QLED,3,2,WebOS,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,32W1 Q
TCL C645 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV With Hands-Free Voice Control  (43C645),"₹28,990",QLED,3,1,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,43C645
LG 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV  (65UK7500PTA),"₹1,11,749",LED,4,2,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2018,65UK7500PTA
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with Android 11 and Bezel-Less Frame  (32HD2A00),"₹19,890",LED,2,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32HD2A00
iFFALCON by TCL 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos Vision & HDR10  (iFF65Q73),"₹47,999",QLED,3,1,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,iFF65Q73
Coocaa 108 cm (43 inch) Full HD LED Smart Android TV with HDR 10 Dolby Audio and Eye Care Technology  (43S7G),"₹16,999",LED,2,2,Android,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2022,43S7G
KODAK 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with With Dolby Atmos and Dolby Vision  (65CAPRO5099),"₹43,999",LED,3,2,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,65CAPRO5099
Nokia 140 cm (55 inch) Ultra HD 4K QLED Smart Android TV with Sound by JBL and Powered by Harman AudioEFX  (55UHDAQNDT5Q),"₹54,999",QLED,3,2,Android,Yes,140 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2021,55UHDAQNDT5Q
LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV Pixel Dimming & Magic Remote  (OLED65A2PSA),"₹1,49,990",OLED,3,2,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,OLED65A2PSA
